Department,DepartmentCleaned
GOVT,government
Soil and Water Conservation,soil and water conservation
EDSP,education
HIST,history
GVPT,gvpt
ECON,economics
GEOG,geography
Biology,biology
Family Studies,family studies
Health and Human Performance,health and human performance
Journalism,journalism
Government and Politics,government and politics
BSCI,bsci
Psychology,psychology
Sociology,sociology
Communication,communications
AASP,aasp
ENEE,enee
AAST,aast
Women's Studies,women's studies
History,history
ANSC,animal science
ENAE,enae
DANC,dance
CHIN,chinese
ENST,enst
ENBE,enbe
ENES,enes
ARCH,architecture
Business,business
EDHD,edhd
Economics,economics
EDHI,edhi
AMST,amst
EDMS,edms
ARHU,arhu
CLAS,classics
AREC,arec
AGNR,agnr
CHEM,chemistry
ARTH,art history
EDUC,education
AFROTC,afrotc
ANTH,anthropology
SOCY,sociology
GEOL,geology
BIOM,biom
PHYS,physics
MATH,mathematics
EALL,eall
BMGT,business
KNES,knes
EDCl,edcl
FMSC,fmsc
PSYC,psychology
CPSP,cpsp
COMM,communications
Math,mathematics
STAT,statistics
AMSC,amsc
Chemistry,chemistry
Physics,physics
ARTT,artt
Korean,korean
FOLA,fola
Kinesiology,kinesiology
ENGL,english
THET,thet
PHIL,philosophy
GREK,grek
PLSC,plsc
LATN,latn
WMST,wmst
FREN,french
ARAB,arab
CHBE,chbe
EDCI,education
CMSC,cmsc
LING,linguistics
PLCY,plcy
HEBR,hebr
CCJS,ccjs
HESI,hesi
JOUR,journalism
BSOS,bsos
PORT,port
HESP,hesp
LARC,larc
FILM,film
HACS,hacs
LGBT,lgbt
BIOE,bioe
AOSC,aosc
LASC,lasc
PHSC,phsc
ENFP,enfp
TLPL,tlpl
Business Administration,business
EDCP,edcp
USLT,uslt
ENCH,ench
Electrical Engineering,electrical engineering
Mathematics,mathematics
Engineering,engineering
ARSC,arsc
ARMY,army
EE,electrical engineering
ASTR,astronomy
Arts & Sc. Ed.,arts & sc. ed.
Ind. Ed.,ind. ed.
PERS,pers
CMLT,cmlt
Anthropology,anthropology
ENCE,ence
BCHM,bchm
Arabic,arabic
ITAL,italian
